Date,Time,Author,Content
2024-01-05,17:52:44,Frappolino,🪚
2024-01-05,18:29:11,Gibbo Rasia,🪚
2024-01-05,18:38:35,Antonio Rocchia,🪚
2024-01-05,21:04:59,Merk🥵,👄
2024-01-05,21:40:56,Leocacca,🧹
2024-01-06,00:50:21,Gibbo Rasia,🪚
2024-01-06,01:55:57,Leocacca,🧹
2024-01-06,01:56:16,Agormitino,🪚
2024-01-06,03:27:56,Lally,🧹
2024-01-06,03:28:14,Mario Ollare,🧹
2024-01-06,10:05:00,Frappolino,🪚
2024-01-06,10:09:33,Lorenzo Leppy,🧹
2024-01-06,14:49:03,Mario Ollare,🧹
2024-01-06,15:43:46,Leocacca,🧹
2024-01-06,22:07:22,Merk🥵,🪚
2024-01-07,00:18:17,Gibbo Rasia,🪚
2024-01-07,00:41:42,Mario Ollare,🪚
2024-01-07,02:25:01,Merk🥵,🪚
2024-01-07,10:55:04,Agormitino,🪚
2024-01-07,14:05:13,Leocacca,🧹
2024-01-07,15:03:04,Lorenzo Leppy,🧹
2024-01-07,15:05:50,Antonio Rocchia,🪚
2024-01-07,15:29:59,Frappolino,🪚
2024-01-07,16:09:17,Gibbo Rasia,🪚
2024-01-07,18:15:14,Agormitino,👄
2024-01-07,18:15:17,Agormitino,👄
2024-01-07,19:09:50,Frappolino,🪚
2024-01-07,19:15:37,Mario Ollare,🪚
2024-01-08,01:36:39,Frappolino,🪚
2024-01-08,03:22:14,Mario Ollare,🪚
2024-01-08,04:24:06,Leocacca,🧹
2024-01-08,12:25:21,Lorenzo Leppy,🧹
2024-01-08,12:47:02,Frappolino,🪚
2024-01-08,16:46:42,Gibbo Rasia,🪚
2024-01-08,19:00:16,Antonio Rocchia,🪚
2024-01-08,19:01:07,Agormitino,🪚
2024-01-08,19:38:57,Merk🥵,🧹
2024-01-08,22:38:50,Mario Ollare,🧹
2024-01-09,01:54:32,Mario Ollare,🧹
2024-01-09,02:54:51,Leocacca,🧹
2024-01-09,18:29:47,Leocacca,🪚
2024-01-09,18:29:52,Gibbo Rasia,🪚
2024-01-09,18:40:06,Agormitino,🪚
2024-01-09,18:49:33,Antonio Rocchia,🪚
2024-01-09,18:59:59,Frappolino,🪚
2024-01-09,19:04:25,Lorenzo Leppy,🪚
2024-01-09,19:19:36,Mario Ollare,👄
2024-01-09,23:15:38,Gibbo Rasia,🪚
2024-01-10,03:56:35,Mario Ollare,🪚
2024-01-10,09:08:19,Frappolino,🪚
2024-01-10,13:22:28,Frappolino,🪚
2024-01-10,15:40:32,Lorenzo Leppy,🪚
2024-01-10,15:58:10,Agormitino,🪚
2024-01-10,20:24:28,Leocacca,🧹
2024-01-10,22:56:56,Leocacca,🪚
2024-01-11,00:26:04,Lorenzo Leppy,🪚
2024-01-11,01:30:02,Gibbo Rasia,🪚
2024-01-11,03:59:29,Leocacca,🧹
2024-01-11,04:08:56,Mario Ollare,🧹
2024-01-11,15:39:03,Lorenzo Leppy,🪚
2024-01-11,15:50:22,Merk🥵,🪚
2024-01-11,16:27:35,Frappolino,🪚
2024-01-11,18:04:48,Mario Ollare,🧹
2024-01-11,19:41:54,Antonio Rocchia,🧹
2024-01-12,00:22:21,Agormitino,🪚
2024-01-12,02:02:37,Gibbo Rasia,🪚
2024-01-12,02:24:11,Mario Ollare,🪚
2024-01-12,07:20:42,Antonio Rocchia,🪚
2024-01-12,11:30:17,Frappolino,🪚
2024-01-12,13:51:21,Mario Ollare,🪚
2024-01-12,15:41:56,Antonio Rocchia,🧹
2024-01-12,16:01:17,Gibbo Rasia,🪚
2024-01-12,18:43:41,Leocacca,🪚
2024-01-12,19:22:45,Lorenzo Leppy,🪚
2024-01-13,01:19:56,Gibbo Rasia,🪚
2024-01-13,01:21:01,Frappolino,🪚
2024-01-13,01:51:18,Mario Ollare,🪚
2024-01-13,11:04:04,Lorenzo Leppy,🪚
2024-01-13,14:17:46,Agormitino,🧹
2024-01-13,15:53:24,Antonio Rocchia,🧹
2024-01-13,16:22:33,Mario Ollare,🪚
2024-01-13,16:33:32,Frappolino,🪚
2024-01-14,00:26:59,Leocacca,🧹
2024-01-14,09:53:49,Gibbo Rasia,🪚
2024-01-14,12:52:15,Gibbo Rasia,🪚
2024-01-14,14:02:52,Frappolino,🪚
2024-01-14,14:03:09,Antonio Rocchia,🪚
2024-01-15,00:57:26,Frappolino,🪚
2024-01-15,01:04:53,Mario Ollare,🪚
2024-01-15,01:23:28,Leocacca,🧹
2024-01-15,17:13:40,Gibbo Rasia,🪚
2024-01-15,17:19:59,Frappolino,🪚
2024-01-15,17:35:01,Lorenzo Leppy,🪚
2024-01-15,18:50:58,Agormitino,🪚
2024-01-16,03:11:09,Mario Ollare,🧹
2024-01-16,08:56:13,Agormitino,🪚
2024-01-16,09:29:27,Gibbo Rasia,🪚
2024-01-16,10:10:57,Leocacca,🪚
2024-01-16,16:29:50,Frappolino,🪚
2024-01-16,17:21:17,Lorenzo Leppy,🪚
2024-01-16,18:25:03,Merk🥵,🧹
2024-01-16,18:33:30,Gibbo Rasia,🪚
2024-01-16,20:30:52,Mario Ollare,🪚
2024-01-16,20:37:06,Antonio Rocchia,🧹
2024-01-17,00:16:33,Frappolino,🪚
2024-01-17,00:19:17,Leocacca,🪚
2024-01-17,00:40:18,Mario Ollare,🪚
2024-01-17,08:18:02,Frappolino,🪚
2024-01-17,15:44:23,Leocacca,🪚
2024-01-17,15:44:32,Mario Ollare,🧹
2024-01-17,15:44:53,Agormitino,🪚
2024-01-17,16:00:07,Antonio Rocchia,🪚
2024-01-17,16:14:13,Lorenzo Leppy,🪚
2024-01-17,17:45:45,Agormitino,🪚
2024-01-17,21:56:24,Antonio Rocchia,🧹
2024-01-17,22:56:36,Gibbo Rasia,🪚
2024-01-17,22:59:53,Mario Ollare,🪚
2024-01-18,16:37:48,Lorenzo Leppy,🪚
2024-01-18,16:38:00,Leocacca,🪚
2024-01-18,16:38:12,Agormitino,🪚
2024-01-18,16:39:18,Mario Ollare,🪚
2024-01-18,17:11:29,Frappolino,🪚
2024-01-18,17:46:33,Agormitino,🪚
2024-01-18,19:12:54,Gibbo Rasia,🪚
2024-01-18,20:05:46,Mario Ollare,🧹
2024-01-18,23:20:33,Agormitino,🪚
2024-01-19,14:41:57,Frappolino,🪚
2024-01-19,14:42:20,Gibbo Rasia,🪚
2024-01-19,14:46:30,Mario Ollare,🧹
2024-01-19,18:09:41,Frappolino,🪚
2024-01-19,18:09:53,Agormitino,🪚
2024-01-19,18:10:39,Lorenzo Leppy,🪚
2024-01-19,18:54:04,Agormitino,🪚
2024-01-19,19:26:22,Mario Ollare,🪚
2024-01-19,22:01:25,Leocacca,🪚
2024-01-20,12:28:20,Gibbo Rasia,🪚
2024-01-20,21:47:56,Lorenzo Leppy,🪚
2024-01-20,22:01:29,Merk🥵,🧹
2024-01-21,00:09:08,Lally,🧹
2024-01-21,00:09:10,Lally,🪚
2024-01-21,02:23:40,Mario Ollare,🧹
2024-01-21,03:54:22,Leocacca,🪚
2024-01-21,10:35:33,Frappolino,🪚
2024-01-21,12:52:52,Antonio Rocchia,🪚
2024-01-21,12:53:01,Agormitino,🪚
2024-01-21,13:19:47,Lally,👄
2024-01-21,14:02:27,Gibbo Rasia,🪚
2024-01-21,15:18:40,Mario Ollare,👄
2024-01-21,19:57:07,Lorenzo Leppy,🪚
2024-01-21,20:18:35,Mario Ollare,🪚
2024-01-21,20:27:58,Agormitino,🪚
2024-01-22,11:16:56,Leocacca,🪚
2024-01-22,16:07:50,Merk🥵,🪚
2024-01-22,16:08:19,Mario Ollare,🪚
2024-01-22,16:52:34,Frappolino,🪚
2024-01-22,17:08:52,Leocacca,🪚
2024-01-22,19:49:58,Lorenzo Leppy,🪚
2024-01-22,22:27:43,Agormitino,🪚
2024-01-22,23:21:21,Lorenzo Leppy,🪚
2024-01-23,09:15:53,Gibbo Rasia,🪚
2024-01-23,14:23:07,Frappolino,🪚
2024-01-23,15:53:04,Frappolino,🪚
2024-01-23,16:05:21,Mario Ollare,🪚
2024-01-23,16:07:32,Lorenzo Leppy,🪚
2024-01-23,16:39:44,Gibbo Rasia,🪚
2024-01-23,22:09:26,Agormitino,🪚
2024-01-23,22:34:07,Agormitino,🪚
2024-01-24,00:38:03,Frappolino,🪚
2024-01-24,01:17:35,Gibbo Rasia,🪚
2024-01-24,10:35:53,Merk🥵,🧹
2024-01-24,11:21:17,Antonio Rocchia,🪚
2024-01-24,14:09:10,Leocacca,🪚
2024-01-24,14:11:49,Mario Ollare,🪚
2024-01-24,14:39:55,Agormitino,🪚
2024-01-25,15:39:38,Frappolino,🪚
2024-01-25,15:39:41,Frappolino,🪚
2024-01-25,15:49:53,Agormitino,🪚
2024-01-25,15:50:05,Mario Ollare,🧹
2024-01-25,15:50:05,Mario Ollare,🧹
2024-01-25,16:20:38,Lorenzo Leppy,🪚
2024-01-25,18:05:45,Agormitino,🪚
2024-01-25,20:45:08,Mario Ollare,🧹
2024-01-25,23:21:15,Leocacca,🪚
2024-01-26,01:57:45,Mario Ollare,🪚
2024-01-26,07:28:51,Gibbo Rasia,🪚
2024-01-26,22:28:27,Agormitino,🪚
2024-01-26,23:14:55,Agormitino,🪚
2024-01-26,23:15:09,Lorenzo Leppy,🪚
2024-01-27,00:03:04,Mario Ollare,🪚
2024-01-27,00:59:08,Gibbo Rasia,🪚
2024-01-27,01:00:58,Gibbo Rasia,🪚
2024-01-27,12:39:40,Antonio Rocchia,🧹
2024-01-27,16:21:33,Lorenzo Leppy,🪚
2024-01-27,16:28:05,Agormitino,🪚
2024-01-27,18:53:57,Leocacca,🪚
2024-01-28,00:37:50,Agormitino,🪚
2024-01-28,00:48:35,Lorenzo Leppy,🪚
2024-01-28,00:59:27,Agormitino,🪚
2024-01-28,01:35:07,Frappolino,🪚
2024-01-28,09:24:24,Gibbo Rasia,🪚
2024-01-28,12:04:29,Mario Ollare,🧹
2024-01-28,12:04:30,Mario Ollare,🧹
2024-01-28,17:05:05,Agormitino,🪚
2024-01-28,17:11:10,Mario Ollare,🪚
2024-01-28,18:12:43,Gibbo Rasia,🪚
2024-01-28,18:13:34,Mario Ollare,🪚
2024-01-28,18:40:36,Lorenzo Leppy,🪚
2024-01-28,19:50:21,Antonio Rocchia,🪚
2024-01-28,21:19:07,Gibbo Rasia,🪚
2024-01-29,11:27:41,Frappolino,🪚
2024-01-29,15:46:04,Mario Ollare,🪚
2024-01-29,16:45:55,Lorenzo Leppy,🪚
2024-01-30,01:16:35,Leocacca,🪚
2024-01-30,07:48:14,Gibbo Rasia,🪚
2024-01-30,09:20:39,Mario Ollare,🧹
2024-01-30,11:35:47,Agormitino,🪚
2024-01-30,11:35:49,Agormitino,🪚
2024-01-30,15:51:24,Mario Ollare,🧹
2024-01-30,16:03:04,Lorenzo Leppy,🪚
2024-01-31,09:00:17,Gibbo Rasia,🪚
2024-01-31,12:22:13,Merk🥵,🪚
2024-01-31,12:59:36,Leocacca,🪚
2024-01-31,13:07:18,Frappolino,🧹
2024-01-31,14:47:00,Mario Ollare,🪚
2024-01-31,14:50:35,Agormitino,🪚
2024-01-31,15:11:39,Lorenzo Leppy,🪚
2024-01-31,16:51:27,Agormitino,🪚
2024-01-31,20:59:45,Gibbo Rasia,🪚
2024-02-01,13:25:10,Mario Ollare,🧹
2024-02-01,13:25:11,Mario Ollare,🧹
2024-02-01,14:36:38,Gibbo Rasia,🪚
2024-02-01,17:04:51,Agormitino,🪚
2024-02-01,17:19:43,Frappolino,🪚
2024-02-01,19:52:58,Lorenzo Leppy,🪚
2024-02-02,00:52:41,Leocacca,🪚
2024-02-02,01:08:55,Mario Ollare,🪚
2024-02-02,07:59:14,Gibbo Rasia,🪚
2024-02-02,22:31:00,Agormitino,🪚
2024-02-02,22:51:33,Agormitino,🪚
2024-02-03,05:22:57,Frappolino,🧹
2024-02-03,14:51:58,Mario Ollare,🧹
2024-02-03,14:51:59,Mario Ollare,🪚
2024-02-03,15:37:32,Agormitino,🪚
2024-02-03,16:12:12,Frappolino,🧹
2024-02-03,16:15:11,Leocacca,🪚
2024-02-03,18:08:43,Lorenzo Leppy,🪚
2024-02-03,22:27:45,Gibbo Rasia,🪚
2024-02-04,14:36:11,Mario Ollare,🪚
2024-02-04,20:25:25,Merk🥵,🪚
2024-02-04,20:28:09,Agormitino,🪚
2024-02-04,23:26:05,Merk🥵,🪚
2024-02-05,00:35:31,Mario Ollare,🪚
2024-02-05,07:18:04,Gibbo Rasia,🪚
2024-02-05,10:37:04,Frappolino,🪚
2024-02-05,15:18:50,Lorenzo Leppy,🪚
2024-02-05,15:23:12,Frappolino,🪚
2024-02-05,18:28:01,Agormitino,🪚
2024-02-05,21:15:53,Leocacca,🪚
2024-02-06,00:30:06,Gibbo Rasia,🪚
2024-02-06,15:15:20,Antonio Rocchia,🪚
2024-02-06,15:15:23,Antonio Rocchia,🪚
2024-02-06,15:28:14,Mario Ollare,🪚
2024-02-06,16:01:08,Lorenzo Leppy,🪚
2024-02-06,20:15:20,Agormitino,🪚
2024-02-07,00:08:35,Agormitino,🪚
2024-02-07,00:17:02,Mario Ollare,🪚
2024-02-07,07:59:47,Gibbo Rasia,🪚
2024-02-07,08:03:23,Lally,🧹
2024-02-07,08:03:28,Lally,🧹
2024-02-07,13:22:15,Mario Ollare,🪚
2024-02-07,15:21:27,Frappolino,🪚
2024-02-07,15:38:10,Merk🥵,🪚
2024-02-07,18:29:00,Agormitino,🪚
2024-02-07,22:50:34,Lorenzo Leppy,🪚
2024-02-07,22:50:36,Lorenzo Leppy,🪚
2024-02-07,22:50:49,Leocacca,🪚
2024-02-08,10:20:20,Gibbo Rasia,🪚
2024-02-08,14:31:15,Merk🥵,🪚
2024-02-08,15:57:33,Mario Ollare,🪚
2024-02-08,18:48:50,Agormitino,🪚
2024-02-08,23:58:39,Antonio Rocchia,🧹
2024-02-09,11:37:42,Frappolino,🧹
2024-02-09,11:37:46,Frappolino,🧹
2024-02-09,11:55:42,Antonio Rocchia,🧹
2024-02-09,11:56:03,Leocacca,🪚
2024-02-09,12:16:34,Mario Ollare,🪚
2024-02-09,18:35:01,Frappolino,👄
2024-02-09,21:10:29,Agormitino,🪚
2024-02-10,00:37:42,Gibbo Rasia,🪚
2024-02-10,02:08:56,Leocacca,🪚
2024-02-10,11:19:26,Gibbo Rasia,🪚
2024-02-10,12:40:23,Frappolino,🧹
2024-02-10,16:55:16,Mario Ollare,🪚
2024-02-10,16:55:28,Agormitino,🪚
2024-02-10,17:46:46,Gibbo Rasia,🪚
2024-02-11,17:04:58,Antonio Rocchia,🪚
2024-02-11,17:05:10,Antonio Rocchia,🧹
2024-02-11,17:05:12,Agormitino,🪚
2024-02-11,17:05:51,Mario Ollare,🪚
2024-02-11,17:24:37,Leocacca,🪚
2024-02-11,18:02:52,Frappolino,🪚
2024-02-11,18:54:42,Merk🥵,🪚
2024-02-11,19:30:28,Lorenzo Leppy,🪚
2024-02-11,21:37:00,Merk🥵,👄
2024-02-12,13:46:06,Leocacca,🪚
2024-02-12,14:22:42,Mario Ollare,🪚
2024-02-12,21:45:22,Mario Ollare,🧹
2024-02-12,22:39:28,Antonio Rocchia,🪚
2024-02-13,04:08:00,Mario Ollare,🧹
2024-02-13,14:05:16,Mario Ollare,🧹
2024-02-13,14:06:57,Leocacca,🪚
2024-02-13,15:00:19,Mario Ollare,🧹
2024-02-13,16:12:51,Merk🥵,🪚
2024-02-13,19:39:48,Lorenzo Leppy,🪚
2024-02-13,19:40:01,Lorenzo Leppy,🪚
2024-02-13,20:21:46,Agormitino,🪚
2024-02-14,04:55:12,Mario Ollare,🧹
2024-02-14,08:05:15,Gibbo Rasia,🪚
2024-02-14,08:05:17,Gibbo Rasia,🪚
2024-02-14,12:36:23,Frappolino,🪚
2024-02-14,12:36:27,Frappolino,🪚
2024-02-14,16:25:34,Antonio Rocchia,🧹
2024-02-14,16:25:42,Antonio Rocchia,🧹
2024-02-14,17:21:07,Frappolino,🪚
2024-02-14,17:52:29,Lorenzo Leppy,🪚
2024-02-14,19:24:47,Agormitino,🪚
2024-02-14,21:29:13,Merk🥵,👄
2024-02-15,02:06:27,Mario Ollare,🪚
2024-02-15,02:28:07,Leocacca,🪚
2024-02-15,10:40:29,Frappolino,🪚
2024-02-15,12:48:03,Gibbo Rasia,🪚
2024-02-15,17:21:29,Lorenzo Leppy,🪚
2024-02-15,17:59:23,Frappolino,🪚
2024-02-15,18:02:42,Antonio Rocchia,🪚
2024-02-16,01:36:21,Mario Ollare,🪚
2024-02-16,15:43:04,Leocacca,🪚
2024-02-16,15:45:50,Lorenzo Leppy,🪚
2024-02-16,16:50:10,Mario Ollare,🪚
2024-02-16,17:38:23,Antonio Rocchia,🪚
2024-02-16,19:57:19,Agormitino,🧹
2024-02-17,14:35:20,Mario Ollare,🧹
2024-02-17,14:35:21,Mario Ollare,🧹
2024-02-17,17:58:03,Gibbo Rasia,🪚
2024-02-17,18:03:08,Lorenzo Leppy,🪚
2024-02-17,21:54:59,Merk🥵,🪚
2024-02-17,21:55:27,Mario Ollare,👄
2024-02-17,22:00:22,Agormitino,🧹
2024-02-18,11:09:59,Frappolino,🧹
2024-02-18,11:10:02,Frappolino,🧹
2024-02-18,11:10:11,Frappolino,🧹
2024-02-18,12:45:33,Leocacca,🪚
2024-02-18,14:18:11,Mario Ollare,🪚
2024-02-18,16:21:13,Frappolino,🧹
2024-02-18,18:05:19,Lorenzo Leppy,🪚
2024-02-18,23:57:46,Gibbo Rasia,🪚
2024-02-19,13:42:13,Antonio Rocchia,🪚
2024-02-19,13:52:22,Mario Ollare,🪚
2024-02-19,15:57:57,Agormitino,👄
2024-02-19,21:43:22,Leocacca,🪚
2024-02-20,00:21:40,Frappolino,🪚
